date,biz_day,regime,mode,rank,code,name,score,price,change_pct,expected_return_5d,entry_score,day_open,day_high,day_low,exit_price,actual_return,day_high_pct,day_low_pct
2026-05-18,2026-05-18,UPTREND,pro,2,001450,현대해상,79.68,38350,14.99,1.78,,,,,38850.0,1.3,,
2026-05-18,2026-05-18,UPTREND,pro,3,009830,한화솔루션,78.57,43350,6.77,1.71,,,,,41300.0,-4.73,,
2026-05-18,2026-05-18,UPTREND,pro,4,010140,삼성중공업,78.26,29550,0.85,1.7,,,,,28550.0,-3.38,,
2026-05-18,2026-05-18,UPTREND,pro,5,027360,아주IB투자,76.38,17010,18.87,1.58,,,,,17280.0,1.59,,
2026-05-18,2026-05-18,UPTREND,pro,6,088350,한화생명,76.19,5670,5.19,1.57,82.19,,,,5800.0,2.29,,
2026-05-18,2026-05-18,UPTREND,pro,7,011200,HMM,74.38,19960,0.35,1.46,,,,,19820.0,-0.7,,
2026-05-18,2026-05-18,UPTREND,pro,8,011000,진원생명과학,72.7,1051,9.48,0.95,,,,,1366.0,29.97,,
2026-05-18,2026-05-18,UPTREND,pro,9,000660,SK하이닉스,71.54,1840000,1.15,1.29,,,,,1745000.0,-5.16,,
2026-05-18,2026-05-18,UPTREND,pro,10,006360,GS건설,70.77,31500,-1.56,0.87,,,,,29950.0,-4.92,,
2026-05-18,2026-05-18,UPTREND,pro,11,005930,삼성전자,69.58,281000,3.88,1.17,78.35,,,,275500.0,-1.96,,
2026-05-18,2026-05-18,UPTREND,pro,12,322000,HD현대에너지솔루션,67.61,212000,7.72,1.06,,,,,,,,
2026-05-18,2026-05-18,UPTREND,pro,13,066430,아이로보틱스,66.74,4000,29.87,0.7,,,,,4295.0,7.38,,
2026-05-18,2026-05-18,UPTREND,pro,14,321370,센서뷰,64.82,3685,22.83,0.62,,,,,3820.0,3.66,,
2026-05-18,2026-05-18,UPTREND,pro,15,000370,한화손해보험,64.63,7120,9.04,0.61,,,,,7650.0,7.44,,
2026-05-18,2026-05-18,UPTREND,pro,16,001740,SK네트웍스,61.47,8250,-5.39,0.48,,,,,8200.0,-0.61,,
2026-05-18,2026-05-18,UPTREND,pro,17,028050,삼성E&A,61.2,49500,-2.17,0.47,,,,,49250.0,-0.51,,
2026-05-18,2026-05-18,UPTREND,pro,18,005880,대한해운,60.26,2500,0.4,0.43,,,,,2500.0,0.0,,
2026-05-18,2026-05-18,UPTREND,pro,19,290690,소룩스,59.02,5730,2.87,0.38,,,,,6020.0,5.06,,
2026-05-18,2026-05-18,UPTREND,pro,20,028670,팬오션,58.32,5950,-1.33,0.35,,,,,6050.0,1.68,,
2026-05-19,2026-05-19,UPTREND,pro,1,011000,진원생명과학,93.33,1366,29.97,2.6,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,2,015760,한국전력,86.22,39150,3.98,2.17,,,,,,,,
2026-05-19,2026-05-19,UPTREND,pro,3,439960,코스모로보틱스,75.89,48600,29.95,1.55,,,,,,,,
